source,batch_id,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes,lineage_status,parent_v1_factor,canonical_replacement_for,evidence_tier,economic_family,economic_subfamily,candidate_status
alpha101,,kunquant_alpha101_alpha005_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha005,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$open,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha005,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha005,kunquant_alpha101_alpha005,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha011_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha011,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha011,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha025_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha025,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$high,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha025,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha025,kunquant_alpha101_alpha025,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha027_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha027,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha027,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha027,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha041_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha041,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$high,$low,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha041,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha041,kunquant_alpha101_alpha041,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha042_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha042,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha042,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha042,kunquant_alpha101_alpha042,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha047_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha047,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$high,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha047,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha047,kunquant_alpha101_alpha047,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha050_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha050,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha050,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha057_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha057,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$close,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha057,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,kunquant_alpha101_alpha057,kunquant_alpha101_alpha057,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
alpha101,,kunquant_alpha101_alpha061_canonical_vwap_v2,alpha101,kunquant_alpha101,KunQuant/predefined/Alpha101.py,alpha061,d4b9e61f729df347730aa921b539b9df3c3fe36d,Apache-2.0,watch,"$amount,$volume,$vwap","label_10d_t1,label_20d_t1",factor_universe_v2_pre_network,True,True,factor_universe_v2.alpha101_canonical.compute_canonical_alpha101_features,alpha061,Canonical replacement uses the provider's direct $vwap field; V1 proxy remains immutable.,canonicalized,,kunquant_alpha101_alpha061,A,TradingBehavior,CanonicalVWAPFormula,pre_network_data_correctness_candidate
